Hospital,Date,Bed Type,Status,Count
All SF Acute Hospitals,4/1/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/1/2020,Acute Care Surge,Available,846
All SF Acute Hospitals,4/1/2020,Acute Care,Available,846
All SF Acute Hospitals,4/1/2020,Intensive Care,Available,125
All SF Acute Hospitals,4/1/2020,Intensive Care,COVID-19 (Confirmed & Suspected),50
All SF Acute Hospitals,4/1/2020,Intensive Care,Other Patients,104
All SF Acute Hospitals,4/1/2020,Acute Care,COVID-19 (Confirmed & Suspected),62
All SF Acute Hospitals,4/1/2020,Acute Care,Other Patients,394
All SF Acute Hospitals,4/2/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/2/2020,Acute Care Surge,Available,937
All SF Acute Hospitals,4/2/2020,Intensive Care,Other Patients,107
All SF Acute Hospitals,4/2/2020,Acute Care,Available,937
All SF Acute Hospitals,4/2/2020,Intensive Care,Available,129
All SF Acute Hospitals,4/2/2020,Intensive Care,COVID-19 (Confirmed & Suspected),43
All SF Acute Hospitals,4/2/2020,Acute Care,COVID-19 (Confirmed & Suspected),65
All SF Acute Hospitals,4/2/2020,Acute Care,Other Patients,300
All SF Acute Hospitals,4/3/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/3/2020,Acute Care Surge,Available,918
All SF Acute Hospitals,4/3/2020,Acute Care,Available,918
All SF Acute Hospitals,4/3/2020,Intensive Care,Available,147
All SF Acute Hospitals,4/3/2020,Intensive Care,COVID-19 (Confirmed & Suspected),41
All SF Acute Hospitals,4/3/2020,Intensive Care,Other Patients,91
All SF Acute Hospitals,4/3/2020,Acute Care,COVID-19 (Confirmed & Suspected),47
All SF Acute Hospitals,4/3/2020,Acute Care,Other Patients,337
All SF Acute Hospitals,4/4/2020,Intensive Care,COVID-19 (Confirmed & Suspected),51
All SF Acute Hospitals,4/4/2020,Intensive Care,Other Patients,82
All SF Acute Hospitals,4/4/2020,Acute Care,COVID-19 (Confirmed & Suspected),60
All SF Acute Hospitals,4/4/2020,Acute Care,Other Patients,332
All SF Acute Hospitals,4/4/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/4/2020,Acute Care Surge,Available,910
All SF Acute Hospitals,4/4/2020,Acute Care,Available,910
All SF Acute Hospitals,4/4/2020,Intensive Care,Available,146
All SF Acute Hospitals,4/5/2020,Acute Care,Available,905
All SF Acute Hospitals,4/5/2020,Intensive Care,Available,136
All SF Acute Hospitals,4/5/2020,Intensive Care,COVID-19 (Confirmed & Suspected),44
All SF Acute Hospitals,4/5/2020,Intensive Care,Other Patients,99
All SF Acute Hospitals,4/5/2020,Acute Care,COVID-19 (Confirmed & Suspected),73
All SF Acute Hospitals,4/5/2020,Acute Care,Other Patients,324
All SF Acute Hospitals,4/5/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/5/2020,Acute Care Surge,Available,905
All SF Acute Hospitals,4/6/2020,Acute Care,Available,900
All SF Acute Hospitals,4/6/2020,Intensive Care,Available,114
All SF Acute Hospitals,4/6/2020,Intensive Care,COVID-19 (Confirmed & Suspected),45
All SF Acute Hospitals,4/6/2020,Intensive Care,Other Patients,120
All SF Acute Hospitals,4/6/2020,Acute Care,COVID-19 (Confirmed & Suspected),71
All SF Acute Hospitals,4/6/2020,Acute Care,Other Patients,331
All SF Acute Hospitals,4/6/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/6/2020,Acute Care Surge,Available,900
All SF Acute Hospitals,4/7/2020,Acute Care,Available,905
All SF Acute Hospitals,4/7/2020,Intensive Care,Available,121
All SF Acute Hospitals,4/7/2020,Intensive Care,COVID-19 (Confirmed & Suspected),45
All SF Acute Hospitals,4/7/2020,Intensive Care,Other Patients,113
All SF Acute Hospitals,4/7/2020,Acute Care,COVID-19 (Confirmed & Suspected),71
All SF Acute Hospitals,4/7/2020,Acute Care,Other Patients,326
All SF Acute Hospitals,4/7/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/7/2020,Acute Care Surge,Available,905
All SF Acute Hospitals,4/8/2020,Acute Care,Available,921
All SF Acute Hospitals,4/8/2020,Intensive Care,Available,118
All SF Acute Hospitals,4/8/2020,Intensive Care,COVID-19 (Confirmed & Suspected),47
All SF Acute Hospitals,4/8/2020,Intensive Care,Other Patients,114
All SF Acute Hospitals,4/8/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,4/8/2020,Acute Care,Other Patients,309
All SF Acute Hospitals,4/8/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/8/2020,Acute Care Surge,Available,921
All SF Acute Hospitals,4/9/2020,Acute Care,Available,867
