date,A1,R1,M1,P1,D1
1/2/1995,1.127,1.079,1.17,1.272,1.104
1/9/1995,1.134,1.086,1.177,1.279,1.102
1/16/1995,1.126,1.078,1.168,1.271,1.1
1/23/1995,1.132,1.083,1.177,1.277,1.095
1/30/1995,1.131,1.083,1.176,1.275,1.09
2/6/1995,1.124,1.076,1.169,1.27,1.086
2/13/1995,1.121,1.074,1.166,1.265,1.088
2/20/1995,1.115,1.067,1.16,1.259,1.088
2/27/1995,1.121,1.073,1.164,1.265,1.089
3/6/1995,1.123,1.076,1.167,1.263,1.089
3/13/1995,1.116,1.069,1.158,1.256,1.088
3/20/1995,1.114,1.068,1.158,1.254,1.085
3/27/1995,1.121,1.075,1.162,1.259,1.088
4/3/1995,1.133,1.087,1.174,1.27,1.094
4/10/1995,1.149,1.103,1.19,1.286,1.101
4/17/1995,1.163,1.117,1.205,1.3,1.106
4/24/1995,1.184,1.138,1.226,1.323,1.115
5/1/1995,1.194,1.148,1.236,1.332,1.119
5/8/1995,1.216,1.169,1.259,1.356,1.126
5/15/1995,1.226,1.179,1.269,1.364,1.126
5/22/1995,1.244,1.197,1.288,1.383,1.124
5/29/1995,1.246,1.199,1.29,1.386,1.13
6/5/1995,1.246,1.199,1.29,1.386,1.124
6/12/1995,1.243,1.196,1.288,1.383,1.122
6/19/1995,1.236,1.189,1.28,1.376,1.117
6/26/1995,1.229,1.182,1.273,1.37,1.112
7/3/1995,1.222,1.175,1.266,1.362,1.106
7/10/1995,1.212,1.165,1.255,1.352,1.103
7/17/1995,1.2,1.153,1.244,1.342,1.099
7/24/1995,1.191,1.144,1.236,1.333,1.098
7/31/1995,1.179,1.132,1.222,1.319,1.093
8/7/1995,1.174,1.127,1.217,1.316,1.099
8/14/1995,1.172,1.125,1.215,1.312,1.106
8/21/1995,1.171,1.124,1.214,1.311,1.106
8/28/1995,1.163,1.117,1.205,1.305,1.109
9/4/1995,1.16,1.113,1.202,1.3,1.115
9/11/1995,1.158,1.111,1.201,1.298,1.119
9/18/1995,1.157,1.11,1.2,1.297,1.122
9/25/1995,1.156,1.109,1.198,1.296,1.121
10/2/1995,1.151,1.105,1.192,1.29,1.117
10/9/1995,1.144,1.097,1.185,1.283,1.117
10/16/1995,1.133,1.087,1.175,1.273,1.117
10/23/1995,1.125,1.079,1.165,1.263,1.114
10/30/1995,1.115,1.068,1.157,1.255,1.11
11/6/1995,1.112,1.065,1.153,1.252,1.118
11/13/1995,1.109,1.063,1.151,1.248,1.118
11/20/1995,1.106,1.06,1.149,1.244,1.119
11/27/1995,1.107,1.061,1.149,1.243,1.124
12/4/1995,1.108,1.062,1.151,1.246,1.123
12/11/1995,1.11,1.063,1.154,1.248,1.124
12/18/1995,1.124,1.078,1.167,1.262,1.13
12/25/1995,1.128,1.082,1.17,1.265,1.141
1/1/1996,1.129,1.083,1.171,1.268,1.148
1/8/1996,1.139,1.093,1.181,1.277,1.146
1/15/1996,1.145,1.098,1.186,1.285,1.152
1/22/1996,1.138,1.091,1.179,1.278,1.144
1/29/1996,1.133,1.087,1.176,1.272,1.136
2/5/1996,1.13,1.083,1.172,1.269,1.13
2/12/1996,1.126,1.08,1.169,1.265,1.134
2/19/1996,1.133,1.087,1.177,1.271,1.151
2/26/1996,1.153,1.107,1.197,1.291,1.164
