DATE,MONTHLY_NOMINAL_GDP,MONTHLY_REAL_GDP
1/1/1992,6315.584,9485.864
2/1/1992,6356.696,9527.953
3/1/1992,6417.026,9606.159
4/1/1992,6443.14,9612.3
5/1/1992,6433.85,9594.431
6/1/1992,6535.299,9723.518
7/1/1992,6557.139,9739.967
8/1/1992,6556.882,9721.122
9/1/1992,6585.902,9755.066
10/1/1992,6637.431,9809.857
11/1/1992,6680.185,9837.378
12/1/1992,6724.794,9873.494
1/1/1993,6717.859,9858.659
2/1/1993,6741.576,9874.126
3/1/1993,6728.942,9837.216
4/1/1993,6768.248,9876.022
5/1/1993,6824.279,9934.598
6/1/1993,6834.29,9931.47
7/1/1993,6832.715,9909.457
8/1/1993,6873.889,9948.965
9/1/1993,6939.69,10025.582
10/1/1993,6944.337,10022.321
11/1/1993,7036.029,10120.845
12/1/1993,7060.848,10147.33
1/1/1994,7074.426,10145.935
2/1/1994,7122.916,10202.352
3/1/1994,7149.614,10236.134
4/1/1994,7186.361,10270.651
5/1/1994,7290.31,10369.581
6/1/1994,7264.122,10358.601
7/1/1994,7298.941,10361.327
8/1/1994,7351.715,10432.075
9/1/1994,7342.569,10386.811
10/1/1994,7429.361,10482.137
11/1/1994,7431.625,10475.412
12/1/1994,7504.878,10580.18
1/1/1995,7542.28,10582.939
2/1/1995,7488.316,10506.355
3/1/1995,7536.271,10560.602
4/1/1995,7538.781,10528.127
5/1/1995,7560.82,10557.749
6/1/1995,7643.39,10658.869
7/1/1995,7630.697,10606.068
8/1/1995,7674.161,10664.059
9/1/1995,7744.517,10744.803
10/1/1995,7747.209,10698.671
11/1/1995,7747.7,10717.282
12/1/1995,7822.849,10816.914
1/1/1996,7840.234,10794.323
2/1/1996,7852.914,10811.249
3/1/1996,7912.255,10869.431
4/1/1996,8025.385,11013.43
5/1/1996,8009.269,10976.718
6/1/1996,8063.867,11026.475
7/1/1996,8099.323,11067.499
8/1/1996,8122.995,11099.929
9/1/1996,8171.906,11144.854
10/1/1996,8250.866,11219.239
11/1/1996,8281.937,11241.475
12/1/1996,8246.51,11197.401
1/1/1997,8309.205,11263.69
2/1/1997,8385.501,11343.168
3/1/1997,8393.259,11268.501
4/1/1997,8511.845,11518.867
